#msg_id,severity,message,description,control_action,threshold_count,threshold_period,enabled,set_not_ready,set_ready,visibile_to_users
gpu.xid.49,WARNING,Unused,,NONE,1,0,true,false,false,true
gpu.xid.4,WARNING,Invalid or corrupted push buffer stream,,NONE,1,0,true,false,false,true
gpu.xid.50,WARNING,Unused,,NONE,1,0,true,false,false,true
gpu.xid.51,WARNING,Unused,,NONE,1,0,true,false,false,true
gpu.xid.52,WARNING,Unused,,NONE,1,0,true,false,false,true
gpu.xid.53,WARNING,Unused,,NONE,1,0,true,false,false,true
gpu.xid.54,WARNING,Auxiliary power is not connected to the GPU board,,NONE,1,0,true,false,false,true
gpu.xid.55,WARNING,Unused,,NONE,1,0,true,false,false,true
gpu.xid.56,WARNING,Display Engine error,,NONE,1,0,true,false,false,true
gpu.xid.57,WARNING,Error programming video memory interface,,NONE,1,0,true,false,false,true
gpu.xid.58,WARNING,Unstable video memory interface detected,,NONE,1,0,true,false,false,true
gpu.xid.59,WARNING,Internal micro-controller error,,NONE,1,0,true,false,false,true
gpu.xid.5,WARNING,Unused,,NONE,1,0,true,false,false,true
gpu.xid.60,WARNING,Video processor exception,,NONE,1,0,true,false,false,true
gpu.xid.61,WARNING,Internal micro-controller breakpoint/warning,A typical XID 61 warning might occur during a kernel panic.,NONE,1,0,true,false,false,true
gpu.xid.62,WARNING,Internal micro-controller halt,,NONE,1,0,true,false,false,true
gpu.xid.63,INFO,ECC page retirement recording event,ECC page retirement after an ECC error was successful.,NONE,1,0,true,false,false,true
gpu.xid.64,FATAL,ECC page retirement recording failure,ECC page retirement after an ECC error was unsuccessful.,NONE,1,0,true,true,false,true
gpu.xid.65,WARNING,Video processor exception,,NONE,1,0,true,false,false,true
gpu.xid.66,WARNING,Illegal access by driver,,NONE,1,0,true,false,false,true
gpu.xid.67,WARNING,Illegal access by driver,,NONE,1,0,true,false,false,true
gpu.xid.68,WARNING,Video processor exception,,NONE,1,0,true,false,false,true
gpu.xid.69,WARNING,Graphics Engine class error,,NONE,1,0,true,false,false,true
gpu.xid.6,WARNING,Invalid or corrupted push buffer stream,,NONE,1,0,true,false,false,true
gpu.xid.70,WARNING,CE3: Unknown Error,,NONE,1,0,true,false,false,true
gpu.xid.71,WARNING,CE4: Unknown Error,,NONE,1,0,true,false,false,true
gpu.xid.72,WARNING,CE5: Unknown Error,,NONE,1,0,true,false,false,true
gpu.xid.73,WARNING,NVENC2 Error,,NONE,1,0,true,false,false,true
gpu.xid.74,FATAL,NVLINK Error,Indicates an NVLINK error has occurred.,NONE,1,0,true,true,false,true
gpu.xid.75,WARNING,Reserved,,NONE,1,0,true,false,false,true
gpu.xid.76,WARNING,Reserved,,NONE,1,0,true,false,false,true
gpu.xid.77,WARNING,Reserved,,NONE,1,0,true,false,false,true
gpu.xid.78,WARNING,vGPU Start Error,,NONE,1,0,true,false,false,true
gpu.xid.79,FATAL,GPU has fallen off the bus,Indicates that the GPU is no longer accessible on the bus.,NONE,1,0,true,true,false,true
gpu.xid.7,WARNING,Invalid or corrupted push buffer address,,NONE,1,0,true,false,false,true
gpu.xid.80,WARNING,Corrupted data sent to GPU,,NONE,1,0,true,false,false,true
gpu.xid.81,WARNING,VGA Subsystem Error,,NONE,1,0,true,false,false,true
gpu.xid.8,WARNING,GPU stopped processing,,NONE,1,0,true,false,false,true
gpu.xid.9,WARNING,Driver error programming GPU,,NONE,1,0,true,false,false,true
gpu.xid.unknown,WARNING,A GPU XID error has been detected but the type could not be determined.,,NONE,1,0,true,false,false,true
